StockCode,Description,TotalRevenue,TotalCustomers,TotalSalesQuantity,TotalReturnQuantity,TotalOrders,TotalMonths,TotalReturnValue,TotalNetRevenue,AveragePrice,ReturnRate,QuantityPerOrder,RevenuePerOrder,SalesDays,SalesVelocity,KMeansClusters
16008,SMALL FOLDING SCISSOR(POINTED EDGE),360.71,54,2892,0,70,10,0.0,360.71,0.13614285714285712,0.0,41.0,5.15,365,7.923287671232877,2
16010,FOLDING CAMPING SCISSOR W/KNIF & S,3.5999999999999996,3,30,0,3,3,0.0,3.5999999999999996,0.12,0.0,10.0,1.2,113,0.26548672566371684,1
16011,ANIMAL STICKERS,367.29,38,1749,0,46,12,0.0,367.29,0.21,0.0,38.0,7.98,367,4.76566757493188,2
16012,FOOD/DRINK SPONGE STICKERS,256.2,33,1220,0,35,10,0.0,256.2,0.21,0.0,35.0,7.32,369,3.306233062330623,2
16014,SMALL CHINESE STYLE SCISSOR,4335.76,34,13328,0,54,12,0.0,4335.76,0.4014814814814815,0.0,247.0,80.29,373,35.73190348525469,2
16015,MEDIUM CHINESE STYLE SCISSOR,289.98,19,662,0,24,10,0.0,289.98,0.48833333333333334,0.0,28.0,12.08,344,1.9244186046511629,2
16016,LARGE CHINESE STYLE SCISSOR,1053.45,41,1273,0,65,12,0.0,1053.45,0.8460000000000001,0.0,20.0,16.21,374,3.4037433155080214,2
16033,MINI HIGHLIGHTER PENS,100.79999999999998,4,840,0,4,3,0.0,100.79999999999998,0.12,0.0,210.0,25.2,68,12.352941176470589,2
16043,POP ART PUSH DOWN RUBBER ,11.759999999999998,2,98,0,2,1,0.0,11.759999999999998,0.12,0.0,49.0,5.88,3,32.666666666666664,2
16045,POPART WOODEN PENCILS ASST,380.0,61,8900,0,68,8,0.0,380.0,0.043478260869565216,0.0,131.0,5.59,348,25.57471264367816,2
16046,TEATIME PEN CASE & PENS,54.4,13,64,0,13,9,0.0,54.4,0.85,0.0,5.0,4.18,361,0.1772853185595568,1
16048,TEATIME ROUND PENCIL SHARPENER ,186.72,41,1436,0,47,10,0.0,186.72,0.13249999999999998,0.0,31.0,3.97,344,4.174418604651163,2
16049,TEATIME GEL PENS ASST,82.08,5,504,0,5,2,0.0,82.08,0.24,0.0,101.0,16.42,29,17.379310344827587,2
16052,TEATIME PUSH DOWN RUBBER,105.28999999999999,5,467,0,6,3,0.0,105.28999999999999,0.305,0.0,78.0,17.55,135,3.4592592592592593,2
16054,POPART RECT PENCIL SHARPENER ASST,140.52,29,1166,108,34,7,12.959999999999999,127.56,0.1288235294117647,0.0847723704866562,37.0,3.75,360,3.5388888888888888,3
16216,LETTER SHAPE PENCIL SHARPENER,227.14,38,3316,0,41,10,0.0,227.14,0.09463414634146342,0.0,81.0,5.54,360,9.21111111111111,2
16218,CARTOON  PENCIL SHARPENERS,253.2,43,3760,0,50,11,0.0,253.2,0.0732,0.0,75.0,5.06,359,10.473537604456824,2
16219,HOUSE SHAPE PENCIL SHARPENER,309.9,41,2915,48,48,11,2.88,307.02,0.09020833333333333,0.01619979750253122,62.0,6.4,358,8.276536312849162,3
16225,RATTLE SNAKE EGGS,596.84,57,760,0,75,11,0.0,596.84,1.1866666666666668,0.0,10.0,7.96,362,2.0994475138121547,2
16235,RECYCLED PENCIL WITH RABBIT ERASER,518.1899999999999,68,2629,1,81,12,0.21,517.98,0.2139506172839506,0.00038022813688212925,32.0,6.39,371,7.0889487870619945,2
16236,KITTY PENCIL ERASERS,266.56,59,1296,0,73,11,0.0,266.56,0.20931506849315068,0.0,18.0,3.65,364,3.5604395604395602,2
16237,SLEEPING CAT ERASERS,885.45,109,4595,60,163,12,12.6,872.85,0.20610778443113772,0.01288936627282492,29.0,5.35,373,12.479892761394101,3
16238,PARTY TIME PENCIL ERASERS,265.09,61,1259,0,78,12,0.0,265.09,0.2362820512820513,0.0,16.0,3.4,372,3.3844086021505375,2
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,27.91,7,31,0,9,4,0.0,27.91,1.0233333333333332,0.0,3.0,3.1,169,0.1834319526627219,1
16259,PIECE OF CAMO STATIONERY SET,326.56,28,3380,108,32,9,8.64,317.92,0.09625,0.03096330275229358,109.0,9.94,241,14.473029045643154,3
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,20.88,1,72,0,1,1,0.0,20.88,0.29,0.0,72.0,20.88,1,72.0,2
17003,BROCADE RING PURSE ,5969.61,136,22927,3,209,12,172.8,5796.81,1.134644549763033,0.00013083296990841692,110.0,27.74,372,61.63978494623656,3
17021,NAMASTE SWAGAT INCENSE,632.34,30,2391,0,47,12,0.0,632.34,0.29411764705882354,0.0,51.0,13.45,370,6.462162162162162,2
17038,PORCELAIN BUDAH INCENSE HOLDER,138.1,18,1501,0,19,11,0.0,138.1,0.09526315789473684,0.0,79.0,7.27,352,4.264204545454546,2
17096,ASSORTED LAQUERED INCENSE HOLDERS,443.76000000000005,12,2516,0,13,7,0.0,443.76000000000005,0.20076923076923076,0.0,194.0,34.14,220,11.436363636363636,2
17174,ASSTD RASTA KEY-CHAINS,3.7800000000000002,3,9,0,3,2,0.0,3.7800000000000002,0.42,0.0,3.0,1.26,313,0.02875399361022364,1
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,383.76,15,5856,0,17,8,0.0,383.76,0.16666666666666666,0.0,344.0,22.57,226,25.911504424778762,2
20615,BLUE POLKADOT PASSPORT COVER,233.34,28,231,0,35,12,0.0,233.34,1.4831428571428573,0.0,7.0,6.67,372,0.6209677419354839,2
20616,CHERRY BLOSSOM PASSPORT COVER,122.78,19,134,0,25,11,0.0,122.78,1.3172,0.0,5.0,4.91,373,0.35924932975871315,2
20617,FIRST CLASS PASSPORT COVER ,137.74,20,66,0,26,10,0.0,137.74,2.224615384615385,0.0,3.0,5.3,349,0.18911174785100288,1
20618,QUEEN OF THE SKIES PASSPORT COVER ,137.88000000000002,20,68,0,28,11,0.0,137.88000000000002,2.0707142857142857,0.0,2.0,4.92,364,0.18681318681318682,1
20619,TROPICAL PASSPORT COVER ,206.23000000000002,16,142,0,22,11,0.0,206.23000000000002,2.309090909090909,0.0,6.0,9.37,347,0.4092219020172911,2
20622,VIP PASSPORT COVER ,73.5,8,35,0,11,5,0.0,73.5,2.1,0.0,3.0,6.68,349,0.10028653295128939,1
20622,VIPPASSPORT COVER ,164.58,18,127,0,21,7,0.0,164.58,1.9323809523809523,0.0,6.0,7.84,349,0.3638968481375358,2
20652,BLUE POLKADOT LUGGAGE TAG ,191.01,26,147,0,33,11,0.0,191.01,1.4333333333333333,0.0,4.0,5.79,371,0.39622641509433965,2
20653,CHERRY BLOSSOM LUGGAGE TAG,43.67,5,33,0,6,4,0.0,43.67,1.6533333333333333,0.0,6.0,7.28,271,0.12177121771217712,1
20654,FIRST CLASS LUGGAGE TAG ,126.69,21,105,0,23,12,0.0,126.69,1.2341666666666666,0.0,5.0,5.51,360,0.2916666666666667,2
20655,QUEEN OF SKIES LUGGAGE TAG,109.11,20,89,0,34,12,0.0,109.11,1.31,0.0,3.0,3.21,364,0.2445054945054945,1
20657,TROPICAL LUGGAGE TAG,76.39,20,61,0,22,10,0.0,76.39,1.3513636363636363,0.0,3.0,3.47,339,0.17994100294985252,1
20658,RED RETROSPOT LUGGAGE TAG,408.75,44,327,0,59,10,0.0,408.75,1.25,0.0,6.0,6.93,297,1.101010101010101,2
20659,ECONOMY LUGGAGE TAG,139.56,18,94,0,29,11,0.0,139.56,1.5499999999999998,0.0,3.0,4.81,366,0.2568306010928962,1
20661,BLUE POLKADOT PURSE ,35.07,3,9,0,5,3,0.0,35.07,4.654,0.0,2.0,7.01,332,0.02710843373493976,1
20662,FIRST CLASS HOLIDAY PURSE ,40.97,4,11,0,5,3,0.0,40.97,4.086,0.0,2.0,8.19,286,0.038461538461538464,1
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,11.690000000000001,3,3,0,3,3,0.0,11.690000000000001,3.896666666666667,0.0,1.0,3.9,309,0.009708737864077669,1
20664,TROPICAL HOLIDAY PURSE ,17.700000000000003,3,6,0,3,1,0.0,17.700000000000003,2.9500000000000006,0.0,2.0,5.9,10,0.6,1
20665,RED RETROSPOT PURSE ,998.2000000000002,58,340,0,73,11,0.0,998.2000000000002,2.944520547945206,0.0,5.0,13.67,323,1.0526315789473684,2
20666,ECONOMY HOLIDAY PURSE,11.8,4,4,0,4,3,0.0,11.8,2.95,0.0,1.0,2.95,119,0.03361344537815126,1
20667,CHERRY BLOSSOM PURSE,2.95,1,1,0,1,1,0.0,2.95,2.95,0.0,1.0,2.95,1,1.0,1
20668,DISCO BALL CHRISTMAS DECORATION,1397.04,111,12618,0,181,12,0.0,1397.04,0.11847826086956523,0.0,70.0,7.72,374,33.7379679144385,2
20669,RED HEART LUGGAGE TAG,243.75,36,195,0,42,10,0.0,243.75,1.25,0.0,5.0,5.8,362,0.5386740331491713,2
20670,VIP HOLIDAY PURSE,29.28,5,8,0,6,6,0.0,29.28,3.896666666666667,0.0,1.0,4.88,339,0.02359882005899705,1
20671,BLUE TEATIME PRINT BOWL ,12.5,2,10,0,2,1,0.0,12.5,1.25,0.0,5.0,6.25,4,2.5,1
20674,GREEN POLKADOT BOWL,1632.81,101,1360,6,150,12,7.5,1625.31,1.2517218543046358,0.004392386530014641,9.0,10.84,372,3.672043010752688,3
20675,BLUE POLKADOT BOWL,3178.65,150,2728,12,225,12,15.0,3163.65,1.2419383259911896,0.004379562043795621,12.0,14.06,372,7.365591397849462,3
20676,RED RETROSPOT BOWL,4980.7300000000005,186,4310,22,301,12,27.5,4953.2300000000005,1.243774834437086,0.0050784856879039705,14.0,16.46,372,11.64516129032258,3
20677,PINK POLKADOT BOWL,3640.0800000000004,133,3157,5,221,12,6.25,3633.8300000000004,1.2583856502242152,0.0015812776723592662,14.0,16.44,372,8.5,3
20678,LARGE BLACK DIAMANTE HAIRSLIDE,6.6,1,4,0,1,1,0.0,6.6,1.65,0.0,4.0,6.6,1,4.0,1
20679,EDWARDIAN PARASOL RED,9055.87,142,1630,9,273,12,53.550000000000004,9002.32,5.920693430656934,0.005491153142159854,6.0,32.98,373,4.394101876675603,3
20681,PINK POLKADOT CHILDRENS UMBRELLA,406.25,30,125,2,35,5,6.5,399.75,3.25,0.015748031496062992,4.0,11.42,123,1.032520325203252,0
20682,RED RETROSPOT CHILDRENS UMBRELLA,3629.66,140,1140,20,188,12,65.0,3564.66,3.3109523809523806,0.017241379310344827,6.0,18.96,371,3.1266846361185983,3
20684,STRAWBERRY DREAM CHILDS UMBRELLA,250.25,30,77,0,32,8,0.0,250.25,3.25,0.0,2.0,7.82,229,0.33624454148471616,1
20685,DOORMAT RED RETROSPOT,25364.85,329,3897,66,583,12,461.22,24903.63,7.749760273972602,0.016654049962149888,7.0,42.72,374,10.596256684491978,3
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,822.38,51,252,0,64,12,0.0,822.38,3.3028125,0.0,4.0,12.85,369,0.6829268292682927,2
20694,FLORAL PINK MONSTER,135.0,9,36,0,10,6,0.0,135.0,3.75,0.0,4.0,13.5,267,0.1348314606741573,1
20695,FLORAL BLUE MONSTER,21.25,4,5,0,4,4,0.0,21.25,4.25,0.0,1.0,5.31,344,0.014534883720930232,1
20696,FLORAL SOFT CAR TOY,120.0,10,32,0,10,6,0.0,120.0,3.75,0.0,3.0,12.0,323,0.09907120743034056,1
20697,LITTLE GREEN MONSTER SOFT TOY,43.349999999999994,8,17,0,9,6,0.0,43.349999999999994,2.55,0.0,2.0,4.82,355,0.04788732394366197,1
20698,LITTLE PINK MONSTER SOFT TOY,40.8,7,16,0,7,4,0.0,40.8,2.55,0.0,2.0,5.83,316,0.05063291139240506,1
20699,MOUSEY LONG LEGS SOFT TOY,73.94999999999999,11,29,0,11,7,0.0,73.94999999999999,2.55,0.0,3.0,6.72,368,0.07880434782608696,1
20700,GREEN CAT FLORAL CUSHION COVER ,37.5,4,10,0,4,3,0.0,37.5,3.75,0.0,2.0,9.38,181,0.055248618784530384,1
20701,PINK CAT FLORAL CUSHION COVER ,22.5,3,6,0,3,2,0.0,22.5,3.75,0.0,2.0,7.5,179,0.0335195530726257,1
20702,PINK PADDED MOBILE,539.75,31,127,0,40,10,0.0,539.75,4.25,0.0,3.0,13.49,325,0.39076923076923076,2
20703,BLUE PADDED SOFT MOBILE,4.25,3,1,7,4,3,29.75,-25.5,4.25,0.875,2.0,-6.38,177,0.04519774011299435,1
20704,MR ROBOT SOFT TOY,626.45,38,211,4,40,12,27.8,598.65,4.825,0.018604651162790697,5.0,14.97,361,0.5955678670360111,0
20705,MRS ROBOT SOFT TOY,428.85,27,143,1,29,12,1.95,426.9,4.708620689655173,0.006944444444444444,5.0,14.72,357,0.40336134453781514,2
20707,CRAZY DAISY HEART DECORATION,195.52,20,155,1,32,12,1.25,194.27,1.5346875,0.00641025641025641,5.0,6.07,370,0.42162162162162165,2
20711,JUMBO BAG TOYS ,7689.28,152,4198,22,252,12,40.31,7648.97,2.0079133858267717,0.005213270142180095,17.0,30.35,362,11.657458563535911,3
20712,JUMBO BAG WOODLAND ANIMALS,15511.6,248,8187,240,501,12,426.46000000000004,15085.14,2.0346442687747035,0.02847988608045568,17.0,30.11,372,22.653225806451612,3
20713,JUMBO BAG OWLS,19047.02,207,10451,243,417,10,431.43,18615.59,2.0167298578199055,0.022723022255470356,26.0,44.64,374,28.593582887700535,3
20716,PARTY FOOD SHOPPER BAG,373.5,31,314,0,34,7,0.0,373.5,1.2445714285714287,0.0,9.0,10.99,203,1.5467980295566504,2
20717,STRAWBERRY SHOPPER BAG,2453.38,150,2034,10,232,12,12.5,2440.88,1.2759322033898306,0.004892367906066536,9.0,10.52,373,5.479892761394102,3
20718,RED RETROSPOT SHOPPER BAG,5106.56,237,4257,24,388,12,29.240000000000002,5077.32,1.2648593350383632,0.005606166783461808,11.0,13.09,372,11.508064516129032,3
20719,WOODLAND CHARLOTTE BAG,7261.94,238,9219,112,539,12,87.39999999999999,7174.54,0.8447619047619048,0.012003000750187547,17.0,13.31,371,25.150943396226417,3
20723,STRAWBERRY CHARLOTTE BAG,5516.7,232,6842,75,504,12,62.709999999999994,5453.99,0.8589566929133857,0.010842850946942316,14.0,10.82,372,18.594086021505376,3
20724,RED RETROSPOT CHARLOTTE BAG,10122.45,335,12805,223,755,12,170.31,9952.14,0.8482984293193717,0.017116978814860302,17.0,13.18,372,35.02150537634409,3
20725,LUNCH BAG RED RETROSPOT,27868.8,532,17576,552,1329,12,818.4000000000001,27050.4,1.6571375464684015,0.030450132391879964,14.0,20.35,374,48.470588235294116,3
20725,LUNCH BAG RED SPOTTY,290.0,1,200,0,1,1,0.0,290.0,1.45,0.0,200.0,290.0,374,0.5347593582887701,1
20726,LUNCH BAG WOODLAND,14497.51,373,9091,82,839,12,134.9,14362.61,1.658705882352941,0.008939278316799302,11.0,17.12,373,24.592493297587133,3
20727,LUNCH BAG  BLACK SKULL.,17950.3,458,11246,118,1073,12,185.7,17764.6,1.6429026387625114,0.010383667722632876,11.0,16.56,374,30.385026737967916,3
20728,LUNCH BAG CARS BLUE,17214.53,481,10789,214,989,12,327.5,16887.03,1.656,0.019449241116059255,11.0,17.07,372,29.577956989247312,3
20731,POSY CANDY BAG,92.5,8,74,0,8,6,0.0,92.5,1.25,0.0,9.0,11.56,197,0.3756345177664975,1
20733,GOLD MINI TAPE MEASURE ,687.2,30,916,300,47,12,216.0,471.2,0.83625,0.24671052631578946,26.0,10.03,372,3.2688172043010755,3
20735,BLACK MINI TAPE MEASURE ,121.3,11,158,0,30,10,0.0,121.3,0.8456666666666667,0.0,5.0,4.04,364,0.4340659340659341,2
20748,KENSINGTON COFFEE SET,675.75,26,53,0,30,11,0.0,675.75,12.75,0.0,2.0,22.52,358,0.14804469273743018,1
20749,ASSORTED COLOUR MINI CASES,12107.51,239,1717,8,371,12,63.6,12043.91,7.792688172043011,0.00463768115942029,5.0,32.46,373,4.624664879356568,3
20750,RED RETROSPOT MINI CASES,12208.85,235,1711,6,369,12,47.7,12161.15,7.7510810810810815,0.0034944670937682005,5.0,32.96,374,4.590909090909091,3
20751,FUNKY WASHING UP GLOVES ASSORTED,1917.0600000000002,127,941,1,172,12,2.1,1914.96,2.095367231638418,0.0010615711252653928,5.0,11.13,367,2.566757493188011,2
20752,BLUE POLKADOT WASHING UP GLOVES,756.0000000000001,92,360,2,117,12,4.2,751.8000000000001,2.1,0.0055248618784530384,3.0,6.43,360,1.0055555555555555,2
20754,RETROSPOT RED WASHING UP GLOVES,2668.38,153,1355,1,240,12,2.1,2666.28,2.0898765432098765,0.0007374631268436578,6.0,11.11,355,3.8197183098591547,2
20755,BLUE PAISLEY POCKET BOOK,247.35,44,291,0,50,10,0.0,247.35,0.85,0.0,6.0,4.95,371,0.784366576819407,2
20756,GREEN FERN POCKET BOOK,53.55,20,63,0,22,8,0.0,53.55,0.85,0.0,3.0,2.43,307,0.20521172638436483,1
20757,RED DAISY POCKET BOOK ,132.53,30,155,0,30,9,0.0,132.53,0.8751612903225806,0.0,5.0,4.42,360,0.4305555555555556,2
20758,ABSTRACT CIRCLES POCKET BOOK,134.29999999999998,35,158,0,41,12,0.0,134.29999999999998,0.85,0.0,4.0,3.28,363,0.43526170798898073,2
20759,CHRYSANTHEMUM POCKET BOOK ,54.4,17,64,0,20,10,0.0,54.4,0.85,0.0,3.0,2.72,370,0.17297297297297298,1
20760,GARDEN PATH POCKET BOOK,58.65,18,69,0,21,8,0.0,58.65,0.85,0.0,3.0,2.79,358,0.19273743016759776,1
20761,BLUE PAISLEY SKETCHBOOK,408.67,46,107,0,52,12,0.0,408.67,3.821346153846154,0.0,2.0,7.86,364,0.29395604395604397,2
20762,GREEN FERN SKETCHBOOK ,382.46,42,101,0,51,11,0.0,382.46,3.8227450980392157,0.0,2.0,7.5,364,0.2774725274725275,2
20763,DAISY SKETCHBOOK ,189.96,24,71,0,25,11,0.0,189.96,3.6984,0.0,3.0,7.6,363,0.19559228650137742,1
20764,ABSTRACT CIRCLES SKETCHBOOK ,483.63,45,126,0,60,12,0.0,483.63,3.9324590163934428,0.0,2.0,8.06,367,0.34332425068119893,2
20765,CHRYSANTHEMUM SKETCHBOOK ,367.34,45,94,0,51,12,0.0,367.34,3.968235294117647,0.0,2.0,7.2,369,0.25474254742547425,2
20766,GARDEN PATH SKETCHBOOK,414.58,41,111,0,47,12,0.0,414.58,3.887916666666667,0.0,2.0,8.82,367,0.3024523160762943,2
20767,BLUE PAISLEY JOURNAL ,534.3199999999999,50,214,0,58,12,0.0,534.3199999999999,2.625344827586207,0.0,4.0,9.21,369,0.5799457994579946,2
20768,GREEN FERN JOURNAL ,317.71,31,130,0,36,12,0.0,317.71,2.6044444444444443,0.0,4.0,8.83,370,0.35135135135135137,2
20769,DAISY JOURNAL ,173.11999999999998,21,66,0,26,8,0.0,173.11999999999998,2.6426923076923075,0.0,3.0,6.66,366,0.18032786885245902,1
20770,ABSTRACT CIRCLE JOURNAL ,256.65,24,107,0,28,12,0.0,256.65,2.533928571428571,0.0,4.0,9.17,357,0.29971988795518206,2
20771,CHRYSANTHEMUM  JOURNAL,180.91,21,70,0,27,9,0.0,180.91,2.639259259259259,0.0,3.0,6.7,366,0.1912568306010929,1
20772,GARDEN PATH JOURNAL,534.46,40,218,1,47,10,2.55,531.91,2.591702127659574,0.0045662100456621,5.0,11.32,373,0.5871313672922251,2
20773,BLUE PAISLEY NOTEBOOK,92.39999999999999,21,56,0,23,10,0.0,92.39999999999999,1.6499999999999997,0.0,2.0,4.02,286,0.1958041958041958,1
20774,GREEN FERN NOTEBOOK,85.8,21,52,0,22,9,0.0,85.8,1.65,0.0,2.0,3.9,299,0.17391304347826086,1
20775,DAISY NOTEBOOK ,103.94999999999999,19,63,0,20,10,0.0,103.94999999999999,1.65,0.0,3.0,5.2,360,0.175,1
20777,CHRYSANTHEMUM NOTEBOOK,156.75,32,95,0,36,11,0.0,156.75,1.65,0.0,3.0,4.35,365,0.2602739726027397,2
20778,GARDEN PATH NOTEBOOK ,24.75,8,15,0,8,4,0.0,24.75,1.65,0.0,2.0,3.09,138,0.10869565217391304,1
20780,BLACK EAR MUFF HEADPHONES,192.86,13,36,0,17,6,0.0,192.86,5.737777777777778,0.0,2.0,11.34,359,0.10027855153203342,1
20781,GOLD EAR MUFF HEADPHONES,152.13,19,29,1,21,10,5.49,146.64000000000001,5.152857142857143,0.03333333333333333,1.0,6.98,367,0.08174386920980926,0
20782,CAMOUFLAGE EAR MUFF HEADPHONES,215.87,12,39,0,17,8,0.0,215.87,5.593529411764706,0.0,2.0,12.7,365,0.10684931506849316,1
20785,FUSCHIA RETRO BAR STOOL,523.3000000000001,4,14,0,5,4,0.0,523.3000000000001,39.15,0.0,3.0,104.66,91,0.15384615384615385,1
20793,BLUE TILED TRAY,54.0,4,8,5,5,5,33.75,20.25,6.75,0.38461538461538464,3.0,4.05,270,0.04814814814814815,0
20794,BLUE  TILE HOOK,213.14999999999998,15,85,9,17,8,22.95,190.2,2.525,0.09574468085106383,6.0,11.19,354,0.2655367231638418,0
20795,LARGE BLUE PROVENCAL CERAMIC BALL,92.4,6,44,6,10,7,12.6,79.80000000000001,2.1,0.12,5.0,7.98,312,0.16025641025641027,0
20796,SMALL BLUE PROVENCAL CERAMIC BALL,100.64999999999999,8,61,0,8,6,0.0,100.64999999999999,1.65,0.0,8.0,12.58,254,0.24015748031496062,1
20798,CLEAR MILKSHAKE GLASS,75.60000000000001,6,36,4,6,2,6.6,69.00000000000001,2.025,0.1,7.0,11.5,55,0.7272727272727273,0
20801,LARGE PINK GLASS SUNDAE DISH,708.16,47,848,32,56,6,24.0,684.16,0.9338596491228071,0.03636363636363636,16.0,12.22,164,5.365853658536586,3
20802,SMALL GLASS SUNDAE DISH CLEAR,730.4399999999999,40,648,39,46,12,20.07,710.3699999999999,1.4497826086956522,0.056768558951965066,15.0,15.44,365,1.8821917808219177,0
20803,SMALL PINK GLASS SUNDAE DISH,383.91,26,911,68,33,6,28.56,355.35,0.5136363636363637,0.06945863125638406,30.0,10.77,139,7.043165467625899,3
20816,GOLD FLOWER CUSHION COVER ,15.6,1,8,0,2,1,0.0,15.6,1.95,0.0,4.0,7.8,1,8.0,1
20818,GOLD TEDDY BEAR,20.0,2,12,0,2,2,0.0,20.0,2.5,0.0,6.0,10.0,96,0.125,1
20819,SILVER TEDDY BEAR,183.71,14,48,0,16,8,0.0,183.71,3.981875,0.0,3.0,11.48,359,0.13370473537604458,1
20820,SILVER LOOKING MIRROR,24.75,2,5,0,2,2,0.0,24.75,4.95,0.0,2.0,12.38,91,0.054945054945054944,1
20821,GOLDIE LOOKING MIRROR,79.2,5,16,12,7,5,59.400000000000006,19.8,4.95,0.42857142857142855,4.0,2.83,233,0.12017167381974249,0
20823,GOLD WINE GOBLET,126.4,6,160,0,7,3,0.0,126.4,0.79,0.0,23.0,18.06,51,3.1372549019607843,2
20826,SILVER APERITIF GLASS,128.4,7,276,0,8,4,0.0,128.4,0.8225,0.0,34.0,16.05,156,1.7692307692307692,2
20827,GOLD APERITIF GLASS,34.32,1,88,0,2,1,0.0,34.32,0.39,0.0,44.0,17.16,2,44.0,2
20828,GLITTER BUTTERFLY CLIPS,2489.1,116,1010,0,177,12,0.0,2489.1,2.5402173913043478,0.0,6.0,14.06,370,2.72972972972973,2
20829,GLITTER HANGING BUTTERFLY STRING,2528.3900000000003,90,1264,120,169,12,205.26,2323.13,2.146551724137931,0.08670520231213873,8.0,13.75,368,3.760869565217391,3
20830,SILVER PHOTO FRAME,157.5,20,75,1,21,10,2.1,155.4,2.1,0.013157894736842105,4.0,7.4,295,0.2576271186440678,1
20831,GOLD PHOTO FRAME,272.34000000000003,19,169,0,24,9,0.0,272.34000000000003,1.8645833333333333,0.0,7.0,11.35,362,0.46685082872928174,2
20832,RED FLOCK LOVE HEART PHOTO FRAME,517.68,47,1010,1,56,10,0.85,516.8299999999999,0.5826315789473684,0.0009891196834817012,18.0,9.23,373,2.710455764075067,2
20835,FRENCH LATTICE CUSHION COVER ,54.779999999999994,7,66,0,7,4,0.0,54.779999999999994,0.83,0.0,9.0,7.83,192,0.34375,1
20836,FRENCH PAISLEY CUSHION COVER,141.1,14,170,12,18,7,9.959999999999999,131.14,0.83,0.06593406593406594,10.0,7.29,206,0.883495145631068,0
20837,FRENCH FLORAL CUSHION COVER ,142.47,14,141,0,15,6,0.0,142.47,0.9713333333333334,0.0,9.0,9.5,276,0.5108695652173914,2
20838,FRENCH LATTICE CUSHION COVER ,282.94,30,330,12,34,7,10.2,272.74,0.9217647058823529,0.03508771929824561,10.0,8.02,205,1.6682926829268292,0
20839,FRENCH PAISLEY CUSHION COVER ,411.84,44,452,0,49,9,0.0,411.84,0.9855102040816326,0.0,9.0,8.4,365,1.2383561643835617,2
20840,FRENCH FLORAL CUSHION COVER ,399.28,35,464,12,44,9,10.2,389.08,0.9584444444444443,0.025210084033613446,11.0,8.84,224,2.125,0
20845,ZINC HEART LATTICE 2 WALL PLANTER,120.64999999999999,7,19,0,11,5,0.0,120.64999999999999,6.35,0.0,2.0,10.97,211,0.09004739336492891,1
20846,ZINC HEART LATTICE T-LIGHT HOLDER,784.22,50,646,0,62,12,0.0,784.22,1.2601587301587303,0.0,10.0,12.65,359,1.799442896935933,2
20847,ZINC HEART LATTICE CHARGER LARGE,172.5,12,46,0,14,9,0.0,172.5,3.75,0.0,3.0,12.32,347,0.13256484149855907,1
20848,ZINC HEART LATTICE CHARGER SMALL,61.95,7,21,0,8,8,0.0,61.95,2.95,0.0,3.0,7.74,328,0.06402439024390244,1
